loss,mse,run_type,fold_number,model_name,task
76.1175308227539,76.1175308227539,train,0,FFNN_regression_model,Promoters
78.39411163330078,78.39411163330078,validation,0,FFNN_regression_model,Promoters
80.51817321777344,80.51817321777344,test,0,FFNN_regression_model,Promoters
98.98584747314453,98.98584747314453,train,0,CNN_regression_model,Promoters
97.8758544921875,97.8758544921875,validation,0,CNN_regression_model,Promoters
100.39801788330078,100.39801788330078,test,0,CNN_regression_model,Promoters
69.67927551269531,69.67927551269531,train,0,MMNN_boosted_regression_model,Promoters
78.18472290039062,78.18472290039062,validation,0,MMNN_boosted_regression_model,Promoters
79.86019897460938,79.86019897460938,test,0,MMNN_boosted_regression_model,Promoters
76.43692779541016,76.43692779541016,train,1,FFNN_regression_model,Promoters
72.9921646118164,72.9921646118164,validation,1,FFNN_regression_model,Promoters
74.62765502929688,74.62765502929688,test,1,FFNN_regression_model,Promoters
101.35233306884766,101.35233306884766,train,1,CNN_regression_model,Promoters
93.81842041015625,93.81842041015625,validation,1,CNN_regression_model,Promoters
99.0086898803711,99.0086898803711,test,1,CNN_regression_model,Promoters
68.18301391601562,68.18301391601562,train,1,MMNN_boosted_regression_model,Promoters
72.41223907470703,72.41223907470703,validation,1,MMNN_boosted_regression_model,Promoters
74.38468933105469,74.38468933105469,test,1,MMNN_boosted_regression_model,Promoters
72.44355773925781,72.44355773925781,train,2,FFNN_regression_model,Promoters
75.97258758544922,75.97258758544922,validation,2,FFNN_regression_model,Promoters
71.05332946777344,71.05332946777344,test,2,FFNN_regression_model,Promoters
96.84032440185547,96.84032440185547,train,2,CNN_regression_model,Promoters
102.25811004638672,102.25811004638672,validation,2,CNN_regression_model,Promoters
101.13228607177734,101.13228607177734,test,2,CNN_regression_model,Promoters
62.98692321777344,62.98692321777344,train,2,MMNN_boosted_regression_model,Promoters
76.41858673095703,76.41858673095703,validation,2,MMNN_boosted_regression_model,Promoters
73.01832580566406,73.01832580566406,test,2,MMNN_boosted_regression_model,Promoters
